Response Group,Max Clonal AxR,Max AxR
OR,358.485850257882,358.485850257882
OR,210.197287269797,210.197287269797
NOR,42.2809841740353,42.2809841740353
OR,15.7554773433344,215.816130716759
OR,82.42805591499,82.42805591499
OR,43.1099122250476,43.1099122250476
NOR,100.871806466285,321.300060248116
NOR,10.1067539986998,10.1067539986998
NOR,25.5282509993423,25.5282509993423
NOR,11.9299824767978,11.9299824767978
NOR,18.8001231264586,20.4042923826887
NOR,9.0616870533534,38.0085988421612
OR,28.3440990827802,28.3440990827802
NOR,6.26633278368326,6.26633278368326
NOR,29.8546027824563,29.8546027824563
NOR,190.327916576453,190.327916576453
NOR,29.519578630024,29.519578630024
NOR,34.7278364327455,34.7278364327455
NOR,16.6738737572497,16.6738737572497
OR,97.0490550891026,97.0490550891026
NOR,32.2221881356511,32.2221881356511
NOR,1.81445190328015,40.0369405215084
OR,65.5060786126712,65.5060786126712
NOR,9.95757751499316,9.95757751499316
OR,79.6670579360844,79.6670579360844
NOR,42.2841046276866,52.2685275403519
NOR,5.86354524414247,5.86354524414247
OR,38.0902999552782,38.0902999552782
OR,23.9528970701342,41.1498303506625
OR,62.6877426108928,62.6877426108928
