subclone_1,subclone_2,subclone_3,total_tumor,days
52009.0,34785.0,13206.0,100000.0,1
52444.07619465656,34986.89664134337,13307.629256398366,100738.6020923983,2
52882.75929194381,35176.14653474896,13409.738584776338,101468.6444114691,3
53325.07941007213,35350.75704536339,13512.32517530949,102188.16163074502,4
53771.06689518601,35508.47508497651,13615.386075437593,102894.92805560012,5
54220.75244487267,35646.69629882477,13718.918188624793,103586.36693232223,6
54674.16721865628,35762.46954791876,13822.918270504475,104259.55503707952,7
55131.342837997945,35852.496909043184,13927.382928879246,104911.22267592038,8
55592.31138629577,35913.133674756886,14032.308623720946,105537.7536847736,9
56057.10540888478,35940.38835339282,14137.691667170648,106135.18542944823,10
56525.75791303697,35929.922669058076,14243.528223538646,106699.2088056337,11
56998.30236796129,35877.051561633874,14349.814309304471,107225.16823889964,12
57474.77267969289,35777.027135854485,14456.545779520384,107708.34559506776,13
57955.202930534026,35628.88131017411,14563.718138567549,108147.80237927569,14
58439.62857906511,35424.44907362675,14671.327068528679,108535.40472122055,15
58928.08594553531,35153.90943189244,14779.368187937695,108861.36356536545,16
59420.61192346508,34808.870881328345,14887.836907023684,109117.31971181711,17
59917.24397964612,34382.37140896878,14996.728427710912,109296.34381632581,18
60418.020154141384,33868.878492525175,15106.037743618816,109392.93639028537,19
60922.979060285135,33264.289100386115,15215.759640062002,109403.02780073325,20
61432.15988468288,32565.929691617308,15325.888694050256,109323.97827035045,21
61945.60238721139,31772.556215961606,15436.419274288533,109154.57787746153,22
62463.34690101872,30884.35411383899,15547.345541176965,108895.04655603468,23
62985.43433252417,29902.938316346583,15658.661446810847,108547.03409568159,24
63511.90616141835,28831.353245258637,15770.36073498066,108113.62014165764,25
64042.804440663094,27674.07281302654,15882.436941172053,107599.31419486168,26
64578.17193358854,26432.288201612562,15994.88322036134,107005.34335556245,27
65118.0505308679,25115.10617624417,16107.692090633334,106340.8487977454,28
65662.48093928919,23742.365195938903,16220.855605239742,105625.70174046783,29
66211.5035218101,22332.641798155808,16334.365251053634,104878.51057101953,30
66765.15830036264,20903.2049908259,16448.211947813383,104116.57523900193,31
67323.48495585317,19470.01625235212,16562.386048122644,103355.88725632794,32
67886.52282816231,18047.72953160938,16676.87733745037,102611.12969722206,33
68454.31091614507,16649.691247944524,16791.675034130792,101895.67719822038,34
69026.88787763072,15287.940291176352,16906.767789363454,101221.59595817052,35
69604.29202942288,13973.2080215956,17022.143687213167,100599.64373823165,36
70186.56134729952,12714.91826996497,17137.790244610052,100039.26986187453,37
70773.73346601284,11521.187337519097,17253.694411349505,99548.61521488143,38
71365.84567928947,10398.823995964576,17369.842570092227,99134.51224534627,39
71962.93493983029,9353.32948747994,17486.2205363642,98802.48496367443,40
72565.03785931051,8388.897524715674,17602.813558556703,98556.7489425829,41
73172.19078184607,7508.4974530124555,17719.606329897506,98400.29456475604,42
73784.43285879592,6714.625896778086,17836.58343473292,98335.64219030693,43
74401.80083115764,5998.720065731818,17953.728383974198,98354.24928086366,44
75024.33044225916,5350.151163324357,18071.023964628894,98445.50557021241,45
75652.05872197507,4760.322586639287,18188.45263927316,98600.83394788753,46
76285.0239867268,4222.669926393071,18305.996546051738,98813.69045917162,47
76923.26583948244,3732.660966935059,18423.63749867797,99079.56430509547,48
77566.82516975688,3287.7956862474684,18541.356986433795,99395.97784243814,49
78215.74415361173,2887.6062559454067,18659.136174169733,99762.48658372686,50
78870.06625365536,2533.657041276856,18776.95590230492,100180.67919723714,51
79529.83621904287,2229.5446011226786,18894.796686827067,100654.17750699262,52
80195.09770295331,1975.1041837831629,19012.638109177795,101182.83999591426,53
80865.88717961736,1751.2401015660023,19130.45724886032,101747.58453004368,54
81542.24757643923,1553.1951821118223,19248.232104674502,102343.67486322556,55
82224.2229605008,1378.2138931103557,19365.9401966874,102968.37705029856,56
82911.85778731266,1223.739483179617,19483.558372999174,103619.15564349145,57
83605.19690081406,1087.4139818659025,19601.0628097431,104293.67369242306,58
84304.2855333729,967.0781996437895,19718.42901108556,104989.79274410225,59
85009.16930578576,860.7717279161368,19835.63180922606,105705.57284292796,60
85719.89422727792,766.7329390140853,19952.645364397194,106439.2725306892,61
86436.50690803674,683.3911678557341,20069.443152652533,107189.341228545,62
87159.0547677174,609.5129387851107,20185.99799476963,107954.56570127213,63
87887.58549604953,544.0883949449235,20302.28199274508,108733.95588373953,64
88622.14718247167,486.1792163923823,20418.266456576166,109526.59285544022,65
89362.78831924612,434.917639050548,20533.921903737973,110331.62786203463,66
90109.55780145893,389.50645470833246,20649.21805918338,111148.28231535063,67
90862.50492701994,349.21901102049833,20764.12385534305,111975.84779338348,68
91621.67939666272,313.39921150765963,20878.607432125442,112813.68604029581,69
92387.13131505014,281.4618189777623,20992.636136061734,113661.22927008964,70
93158.91130821726,252.94253539715586,21106.17645122681,114518.03029484123,71
93937.07046605465,227.50054592653535,21219.194055118976,115383.76506710016,72
94721.66025604474,204.8191271552709,21331.653776698644,116258.13315989864,73
95512.7325658629,184.60287740648073,21443.51954392809,117140.85498719747,74
96310.33970337745,166.5777167370308,21554.754383771487,118031.67180388597,75
97114.53439664967,150.4908869375353,21665.320422194873,118930.34570578208,76
97925.3697939338,136.1109515323562,21775.17888416617,119836.65962963234,77
98742.89946367704,123.22779577960361,21884.29009365518,120750.41735311181,78
99567.17739451953,111.65262667113544,21992.613473633588,121671.44349482426,79
100398.25802209506,101.22652950906722,22100.107524844294,122599.59207644842,80
101236.19626319181,91.84351248461925,22206.729772149843,123534.76954782628,81
102081.04741967202,83.4049444256989,22312.43681796691,124476.88918206462,82
102932.86723777001,75.81765490307656,22417.184307255087,125425.86919992817,83
103791.71191183047,68.99465695726579,22520.92692501069,126381.63349379842,84
104657.63808430845,62.855147098523275,22623.6183962668,127344.11162767377,85
105530.70284576937,57.32450530684891,22725.21148609322,128313.23883716944,86
106410.96373488904,52.334295031985654,22825.657999596493,129288.95602951752,87
107298.47873845362,47.82226319341973,22924.908781919916,130271.20978356696,88
108193.30629135965,43.73234018038045,23022.913718243515,131259.95234978353,89
