subclone_1,subclone_2,total_tumor,days
42729.0,57271.0,100000.0,1
43085.758150012676,57733.22464145167,100818.98279146434,2
43443.98829360961,58194.7639865993,101638.75228020891,3
43803.626181623564,58655.23256033895,102458.85874196251,4
44164.60672220835,59114.24828993624,103278.85501214459,5
44526.87011259144,59571.47945472806,104098.3495673195,6
44890.35048761048,60026.54395223565,104916.89443984613,7
45254.97586853523,60479.008853219406,105733.98472175463,8
45620.668163067516,60928.39040167892,106549.05856474643,9
45987.34316534122,61374.154014852946,107361.49718019416,10
46354.91055592233,61815.714283219415,108170.62483914175,11
46723.2739018089,62252.434970495444,108975.70887230434,12
47092.33065643104,62683.6290136373,109775.95967006835,13
47461.97215965096,63108.55852284045,110570.53068249142,14
47832.08363776296,63526.43478153953,111358.51841930249,15
48202.54420349337,63936.41824640834,112138.96244990171,16
48573.226856000634,64337.61854735986,112910.8454033605,17
48943.99848087526,64729.094487546245,113673.09296842151,18
49314.71985013984,65109.854043358835,114424.57389349867,19
49685.24562224903,65478.85436442812,115164.09998667715,20
50055.424342089565,65835.0017736238,115890.42611571336,21
50425.098417064706,66177.15249563094,116602.25091269566,22
50794.06413809386,66505.2547865205,117299.31892461436,23
51162.12451892125,66818.44556174883,117980.57008067008,24
51529.10998142922,67114.50407629815,118643.61405772736,25
51894.83539970456,67391.21072180064,119286.0461215052,26
52259.10010003853,67646.3470265385,119905.44712657703,27
52621.687860926795,67877.69565544387,120499.38351637067,28
52982.366913069505,68083.04041009891,121065.40732316842,29
53340.88993937123,68260.16622873576,121601.056168107,30
53696.99407494098,68406.85918623654,122103.85326117752,31
54050.40090709224,68520.90649413339,122571.30740122564,32
54400.81647534292,68600.0965006084,123000.91297595133,33
54747.93127141537,68642.21869049367,123390.14996190905,34
55091.4202392364,68645.06368527125,123736.48392450766,35
55430.942774937255,68606.42324307324,124037.36601801049,36
55766.14272685363,68524.09025868167,124290.23298553529,37
56096.648395525655,68395.8587635286,124492.50715905425,38
56422.07253369792,68219.52392569603,124641.59645939396,39
56742.01234631946,67992.88204991602,124734.89439623548,40
57056.04949054374,67713.73057757053,124769.78006811427,41
57363.75007572867,67379.86808669158,124743.61816242026,42
57664.66466343663,66989.09429196116,124653.75895539779,43
57958.32826743442,66539.21004471119,124497.53831214561,44
58244.2603536933,66028.01733292366,124272.27768661696,45
58521.964840388966,65453.319281230506,123975.28412161948,46
58790.93009790156,64812.92015091366,123603.85024881523,47
59050.62961115145,64104.63120626169,123155.26081741315,48
59300.555624851724,63327.15646335821,122627.71208820993,49
59540.089587009934,62480.38260633474,122020.47219334467,50
59768.54954852245,61564.521119478915,121333.07066800137,51
59985.24382151176,60580.24164584124,120565.48546735299,52
60189.47097932645,59528.671987235124,119718.14296656157,53
60380.51985654122,58411.398104236825,118791.91796077805,54
60557.66954895691,57230.46411618551,117788.13366514242,55
60720.18941360045,55988.37230118322,116708.56171478366,56
60867.339068724876,54688.08309609486,115555.42216481973,57
60998.36839380937,53333.01509654824,114331.3834903576,58
61112.51752955919,51927.04505693403,113039.56258649322,59
61209.01687790574,50474.5078904058,111683.52476831154,60
61287.087102006524,48980.19666887999,110267.28377088651,61
61345.93912624516,47449.36262303592,108795.30174928109,62
61384.77413623138,45887.7151423158,107272.48927854717,63
